UTF8±àÂë±í´óÈ«
Code  code# Code      (coded in UTF-8)

D2BB  4E00  E4 B8 80  Ò»
B6A1  4E01  E4 B8 81  ¶¡
C6DF  4E03  E4 B8 83  Æß
CDF2  4E07  E4 B8 87  Íò
D5C9  4E08  E4 B8 88  ÕÉ
C8FD  4E09  E4 B8 89  Èý
C9CF  4E0A  E4 B8 8A  ÉÏ
CFC2  4E0B  E4 B8 8B  ÏÂ
D8A2  4E0C  E4 B8 8C  Ø¢
B2BB  4E0D  E4 B8 8D  ²»
D3EB  4E0E  E4 B8 8E  Óë
D8A4  4E10  E4 B8 90  Ø¤
B3F3  4E11  E4 B8 91  ³ó
D7A8  4E13  E4 B8 93  ×¨
C7D2  4E14  E4 B8 94  ÇÒ
D8A7  4E15  E4 B8 95  Ø§
CAC0  4E16  E4 B8 96  ÊÀ
C7F0  4E18  E4 B8 98  Çð
B1FB  4E19  E4 B8 99  ±û
D2B5  4E1A  E4 B8 9A  Òµ
B4D4  4E1B  E4 B8 9B  ´Ô
B6AB  4E1C  E4 B8 9C  ¶«
CBBF  4E1D  E4 B8 9D  Ë¿
D8A9  4E1E  E4 B8 9E  Ø©
B6AA  4E22  E4 B8 A2  ¶ª
C1BD  4E24  E4 B8 A4  Á½
D1CF  4E25  E4 B8 A5  ÑÏ
C9A5  4E27  E4 B8 A7  É¥
D8AD  4E28  E4 B8 A8  Ø­
B8F6  4E2A  E4 B8 AA  ¸ö
D1BE  4E2B  E4 B8 AB  Ñ¾
E3DC  4E2C  E4 B8 AC  ãÜ
D6D0  4E2D  E4 B8 AD  ÖÐ
B7E1  4E30  E4 B8 B0  ·á
B4AE  4E32  E4 B8 B2  ´®
C1D9  4E34  E4 B8 B4  ÁÙ
D8BC  4E36  E4 B8 B6  Ø¼
CDE8  4E38  E4 B8 B8  Íè
B5A4  4E39  E4 B8 B9  µ¤
CEAA  4E3A  E4 B8 BA  Îª
D6F7  4E3B  E4 B8 BB  Ö÷
C0F6  4E3D  E4 B8 BD  Àö
BED9  4E3E  E4 B8 BE  ¾Ù
D8AF  4E3F  E4 B8 BF  Ø¯
C4CB  4E43  E4 B9 83  ÄË
BEC3  4E45  E4 B9 85  ¾Ã
D8B1  4E47  E4 B9 87  Ø±
C3B4  4E48  E4 B9 88  Ã´
D2E5  4E49  E4 B9 89  Òå
D6AE  4E4B  E4 B9 8B  Ö®
CEDA  4E4C  E4 B9 8C  ÎÚ
D5A7  4E4D  E4 B9 8D  Õ§
BAF5  4E4E  E4 B9 8E  ºõ
B7A6  4E4F  E4 B9 8F  ·¦
C0D6  4E50  E4 B9 90  ÀÖ
C6B9  4E52  E4 B9 92  Æ¹
